,username,talking_about_count,time
109428,burgerking,106232,2015-08-08 04:00:00+00
109462,Dominos,28220,2015-08-08 04:00:00+00
110434,chipotle,64063,2015-08-09 04:00:00+00
110437,Dominos,27669,2015-08-09 04:00:00+00
110567,burgerking,109946,2015-08-09 04:00:00+00
111227,chipotle,60925,2015-08-10 04:00:00+00
111724,burgerking,113543,2015-08-10 04:00:00+00
112041,Dominos,27225,2015-08-10 04:00:00+00
112843,burgerking,116651,2015-08-11 04:00:00+00
112858,Dominos,26710,2015-08-11 04:00:00+00
113105,chipotle,59794,2015-08-11 04:00:00+00
113892,chipotle,59461,2015-08-12 04:00:00+00
113924,Dominos,26367,2015-08-12 04:00:00+00
114024,burgerking,120260,2015-08-12 04:00:00+00
114561,Dominos,26367,2015-08-13 04:00:00+00
114600,chipotle,59461,2015-08-13 04:00:00+00
115024,burgerking,120260,2015-08-13 04:00:00+00
115317,chipotle,59461,2015-08-14 04:00:00+00
115393,Dominos,26367,2015-08-14 04:00:00+00
115679,burgerking,120260,2015-08-14 04:00:00+00
116657,Dominos,36923,2015-08-15 04:00:00+00
116712,burgerking,123599,2015-08-15 04:00:00+00
117021,chipotle,58995,2015-08-15 04:00:00+00
117782,burgerking,149407,2015-08-16 04:00:00+00
118052,Dominos,36923,2015-08-16 04:00:00+00
118150,chipotle,31513,2015-08-16 04:00:00+00
118429,burgerking,156686,2015-08-17 04:00:00+00
118518,Dominos,41980,2015-08-17 04:00:00+00
118552,chipotle,29067,2015-08-17 04:00:00+00
119349,chipotle,33246,2015-08-18 04:00:00+00
119443,Dominos,44680,2015-08-18 04:00:00+00
119718,burgerking,158471,2015-08-18 04:00:00+00
120570,burgerking,158471,2015-08-19 04:00:00+00
121000,chipotle,33246,2015-08-19 04:00:00+00
121022,Dominos,44680,2015-08-19 04:00:00+00
121674,burgerking,158131,2015-08-20 04:00:00+00
121692,Dominos,41997,2015-08-20 04:00:00+00
121880,chipotle,45163,2015-08-20 04:00:00+00
122384,Dominos,41997,2015-08-21 04:00:00+00
122432,chipotle,45163,2015-08-21 04:00:00+00
123089,burgerking,148989,2015-08-21 04:00:00+00
123671,chipotle,50211,2015-08-22 04:00:00+00
123868,Dominos,37826,2015-08-22 04:00:00+00
123909,burgerking,133307,2015-08-22 04:00:00+00
124616,Dominos,34985,2015-08-23 04:00:00+00
124771,burgerking,126481,2015-08-23 04:00:00+00
125051,chipotle,53200,2015-08-23 04:00:00+00
125813,burgerking,122782,2015-08-24 04:00:00+00
126220,chipotle,55423,2015-08-24 04:00:00+00
126249,Dominos,30448,2015-08-24 04:00:00+00
126470,burgerking,120632,2015-08-25 04:00:00+00
126990,chipotle,53565,2015-08-25 04:00:00+00
127316,Dominos,28011,2015-08-25 04:00:00+00
127619,burgerking,123636,2015-08-26 04:00:00+00
127731,Dominos,26771,2015-08-26 04:00:00+00
127931,chipotle,44869,2015-08-26 04:00:00+00
128342,chipotle,44869,2015-08-27 04:00:00+00
128898,burgerking,123636,2015-08-27 04:00:00+00
129009,Dominos,27756,2015-08-27 04:00:00+00
129347,Dominos,29080,2015-08-28 04:00:00+00
129678,chipotle,36119,2015-08-28 04:00:00+00
130160,burgerking,127969,2015-08-28 04:00:00+00
130737,burgerking,158870,2015-08-29 04:00:00+00
131025,Dominos,30115,2015-08-29 04:00:00+00
131353,chipotle,27362,2015-08-29 04:00:00+00
131527,burgerking,173091,2015-08-30 04:00:00+00
132218,chipotle,21468,2015-08-30 04:00:00+00
132263,Dominos,30257,2015-08-30 04:00:00+00
132393,DunkinDonuts,4412,2015-08-31 04:00:00+00
132543,Dominos,30399,2015-08-31 04:00:00+00
132831,burgerking,173091,2015-08-31 04:00:00+00
132970,chipotle,21468,2015-08-31 04:00:00+00
133643,DunkinDonuts,4412,2015-09-01 04:00:00+00
133798,chipotle,21468,2015-09-01 04:00:00+00
133992,Dominos,30399,2015-09-01 04:00:00+00
134142,burgerking,173091,2015-09-01 04:00:00+00
134422,burgerking,173091,2015-09-02 04:00:00+00
134812,chipotle,21468,2015-09-02 04:00:00+00
134921,Dominos,30531,2015-09-02 04:00:00+00
135267,DunkinDonuts,4412,2015-09-02 04:00:00+00
135706,Dominos,30417,2015-09-03 04:00:00+00
135856,chipotle,21050,2015-09-03 04:00:00+00
135923,DunkinDonuts,4335,2015-09-03 04:00:00+00
136253,burgerking,178679,2015-09-03 04:00:00+00
136810,burgerking,185937,2015-09-04 04:00:00+00
137088,chipotle,21050,2015-09-04 04:00:00+00
137128,Dominos,29889,2015-09-04 04:00:00+00
137387,DunkinDonuts,4288,2015-09-04 04:00:00+00
137531,Dominos,29371,2015-09-05 04:00:00+00
137724,chipotle,21255,2015-09-05 04:00:00+00
137807,DunkinDonuts,4177,2015-09-05 04:00:00+00
137998,burgerking,161077,2015-09-05 04:00:00+00
138807,DunkinDonuts,4142,2015-09-06 04:00:00+00
138990,chipotle,29036,2015-09-06 04:00:00+00
139025,Dominos,29147,2015-09-06 04:00:00+00
139444,burgerking,159195,2015-09-06 04:00:00+00
139683,DunkinDonuts,4142,2015-09-07 04:00:00+00
139824,Dominos,29218,2015-09-07 04:00:00+00
139943,chipotle,33732,2015-09-07 04:00:00+00
140029,burgerking,159195,2015-09-07 04:00:00+00
140688,burgerking,166875,2015-09-08 04:00:00+00
140788,Dominos,29182,2015-09-08 04:00:00+00
140863,chipotle,33732,2015-09-08 04:00:00+00
141352,DunkinDonuts,4029,2015-09-08 04:00:00+00
142407,chipotle,38243,2015-09-09 04:00:00+00
142446,burgerking,182426,2015-09-09 04:00:00+00
142552,Dominos,29090,2015-09-09 04:00:00+00
142691,DunkinDonuts,3993,2015-09-09 04:00:00+00
143184,Dominos,27916,2015-09-10 04:00:00+00
143436,burgerking,191530,2015-09-10 04:00:00+00
143454,chipotle,41530,2015-09-10 04:00:00+00
143677,DunkinDonuts,3973,2015-09-10 04:00:00+00
143891,Dominos,26672,2015-09-11 04:00:00+00
